Flight Number, Start Time (UTC), Sim Start Time (UTC), Origination Airport, Origination Airport Name, Departure Runway, Destination Airport, Destination Airport Name, Flight Time, Flight Time - Day, Flight Time - Night, Flight Distance (nm), Take Offs, Day Takeoffs, Night Takeoffs, Landings, Day Landings, Night Landings, Aircraft Mfg, Aircraft Type, Aircraft Codename, Aircraft Model, Startup Location, Type of Flight Decoded, Latitude,Longitude,Weather,Flight Description
14,2022/10/11 8:06:18,2018/9/7 22:49:00,KSEZ,"Sedona Airport,  Sedona AZ",0,KSEZ,"Sedona Airport,  Sedona AZ",00:04:38,00:04:38,00:00:00,0.6720,0,0,0,0,0,0,Asobo Studio,"PLANETYPE_PROPELLER","asobo-aircraft-c152","Cessna 152 Asobo",Flying,Tutorial Mission,34.7588112080386,-111.870251437649,"TT:MENU.WEATHERTYPE_3FEW_CLOUDS","asobo-flight-tutorials-attitudestest"
15,2022/10/11 8:11:05,2018/9/7 22:49:00,KSEZ,"Sedona Airport,  Sedona AZ",0,19AZ,"Montezuma Airport,  Camp Verde AZ",00:08:30,00:08:30,00:00:00,5.4323,0,0,0,0,0,0,Asobo Studio,"PLANETYPE_PROPELLER","asobo-aircraft-c152","Cessna 152 Asobo",Flying,Tutorial Mission,34.6886774814407,-111.88778587617,"TT:MENU.WEATHERTYPE_3FEW_CLOUDS","asobo-flight-tutorials-attitudestest"
16,2022/10/11 8:20:27,2018/9/7 22:40:00,KSEZ,"Sedona Airport,  Sedona AZ",21,KSEZ,"Sedona Airport,  Sedona AZ",00:00:00,00:00:00,00:00:00,0.1236,0,0,0,0,0,0,Asobo Studio,"PLANETYPE_PROPELLER","asobo-aircraft-c152","Cessna 152 Asobo",Runway,Tutorial Mission,34.8512880245957,-111.786250853911,"TT:MENU.WEATHERTYPE_3FEW_CLOUDS","asobo-flight-tutorials-taxi"
17,2022/10/11 8:23:26,2018/9/7 22:40:00,KSEZ,"Sedona Airport,  Sedona AZ",21,KSEZ,"Sedona Airport,  Sedona AZ",00:00:00,00:00:00,00:00:00,0.3018,0,0,0,0,0,0,Asobo Studio,"PLANETYPE_PROPELLER","asobo-aircraft-c152","Cessna 152 Asobo",Runway,Tutorial Mission,34.8534656435124,-111.782988617197,"TT:MENU.WEATHERTYPE_3FEW_CLOUDS","asobo-flight-tutorials-taxi"
18,2022/10/11 8:30:13,2018/9/7 23:20:00,KSEZ,"Sedona Airport,  Sedona AZ",21,KSEZ,"Sedona Airport,  Sedona AZ",00:01:31,00:01:31,00:00:00,2.2447,1,1,0,0,0,0,Asobo Studio,"PLANETYPE_PROPELLER","asobo-aircraft-c152","Cessna 152 Asobo",Runway,Tutorial Mission,34.8281980653386,-111.816502232105,"TT:MENU.WEATHERTYPE_3FEW_CLOUDS","asobo-flight-tutorials-newtakeoff"
19,2022/10/11 8:35:05,2018/9/7 23:35:00,KSEZ,"Sedona Airport,  Sedona AZ",0,KSEZ,"Sedona Airport,  Sedona AZ",00:01:36,00:01:36,00:00:00,1.8567,0,0,0,1,1,0,Asobo Studio,"PLANETYPE_PROPELLER","asobo-aircraft-c152","Cessna 152 Asobo",Flying,Tutorial Mission,34.8477336466118,-111.789513090625,"TT:MENU.WEATHERTYPE_3FEW_CLOUDS","asobo-flight-tutorials-landingdeadstick"
20,2022/10/11 8:37:38,2018/9/7 23:35:00,KSEZ,"Sedona Airport,  Sedona AZ",0,KSEZ,"Sedona Airport,  Sedona AZ",00:01:48,00:01:48,00:00:00,1.9714,0,0,0,1,1,0,Asobo Studio,"PLANETYPE_PROPELLER","asobo-aircraft-c152","Cessna 152 Asobo",Flying,Tutorial Mission,34.8466178418777,-111.790868528187,"TT:MENU.WEATHERTYPE_3FEW_CLOUDS","asobo-flight-tutorials-landingelevator"
21,2022/10/11 11:19:38,2022/10/11 11:19:39,RJTT,"Tokyo Haneda International Airport,  Tokyo 13",22,RJMO,"",00:11:19,00:11:19,00:00:00,37.9550,1,1,0,0,0,0,Asobo Studio,"PLANETYPE_TURBO","asobo-aircraft-tbm930","TBM 930 Asobo",Runway,Free Flight,35.9926932786762,139.798938883469,"TT:MENU.WEATHERTYPE_9CLEAR_SKY","asobo-freeflights"
22,2022/10/11 12:56:09,2018/9/7 23:35:00,KSEZ,"Sedona Airport,  Sedona AZ",0,KSEZ,"Sedona Airport,  Sedona AZ",00:02:22,00:02:22,00:00:00,2.7876,0,0,0,0,0,0,Asobo Studio,"PLANETYPE_PROPELLER","asobo-aircraft-c152","Cessna 152 Asobo",Flying,Tutorial Mission,34.8413627615167,-111.797126540914,"TT:MENU.WEATHERTYPE_3FEW_CLOUDS","asobo-flight-tutorials-newlanding"
23,2022/10/11 12:58:41,2018/9/7 23:35:00,KSEZ,"Sedona Airport,  Sedona AZ",0,KSEZ,"Sedona Airport,  Sedona AZ",00:02:31,00:02:31,00:00:00,2.9423,0,0,0,0,0,0,Asobo Studio,"PLANETYPE_PROPELLER","asobo-aircraft-c152","Cessna 152 Asobo",Flying,Tutorial Mission,34.8432524308246,-111.795096611604,"TT:MENU.WEATHERTYPE_3FEW_CLOUDS","asobo-flight-tutorials-newlanding"
24,2022/10/11 13:01:48,2018/9/7 23:35:00,KSEZ,"Sedona Airport,  Sedona AZ",0,KSEZ,"Sedona Airport,  Sedona AZ",00:02:29,00:02:29,00:00:00,2.9377,0,0,0,0,0,0,Asobo Studio,"PLANETYPE_PROPELLER","asobo-aircraft-c152","Cessna 152 Asobo",Flying,Tutorial Mission,34.8432794261004,-111.795119829476,"TT:MENU.WEATHERTYPE_3FEW_CLOUDS","asobo-flight-tutorials-newlanding"
25,2022/10/11 13:04:30,2018/9/7 23:35:00,KSEZ,"Sedona Airport,  Sedona AZ",0,KSEZ,"Sedona Airport,  Sedona AZ",00:02:37,00:02:37,00:00:00,3.2600,0,0,0,1,1,0,Asobo Studio,"PLANETYPE_PROPELLER","asobo-aircraft-c152","Cessna 152 Asobo",Flying,Tutorial Mission,34.8470047741645,-111.790531910956,"TT:MENU.WEATHERTYPE_3FEW_CLOUDS","asobo-flight-tutorials-newlanding"
26,2022/10/11 13:07:55,2018/9/7 23:35:00,KSEZ,"Sedona Airport,  Sedona AZ",0,KSEZ,"Sedona Airport,  Sedona AZ",00:02:47,00:02:47,00:00:00,3.1930,0,0,0,1,1,0,Asobo Studio,"PLANETYPE_PROPELLER","asobo-aircraft-c152","Cessna 152 Asobo",Flying,Tutorial Mission,34.8462309095908,-111.791371861473,"TT:MENU.WEATHERTYPE_3FEW_CLOUDS","asobo-flight-tutorials-newlanding"
27,2022/10/11 13:11:40,2018/9/7 23:45:00,KSEZ,"Sedona Airport,  Sedona AZ",21,KSEZ,"Sedona Airport,  Sedona AZ",00:03:34,00:03:34,00:00:00,4.8936,0,0,0,0,0,0,Asobo Studio,"PLANETYPE_PROPELLER","asobo-aircraft-c152","Cessna 152 Asobo",Runway,Tutorial Mission,34.8500462419077,-111.786573892459,"TT:MENU.WEATHERTYPE_3FEW_CLOUDS","asobo-flight-tutorials-downwind"
28,2022/10/11 13:16:17,2018/9/7 23:55:00,KSEZ,"Sedona Airport,  Sedona AZ",21,KSEZ,"Sedona Airport,  Sedona AZ",00:07:36,00:07:36,00:00:00,10.3366,1,1,0,0,0,0,Asobo Studio,"PLANETYPE_PROPELLER","asobo-aircraft-c152","Cessna 152 Asobo",Runway,Tutorial Mission,34.8509640812858,-111.785165229812,"TT:MENU.WEATHERTYPE_3FEW_CLOUDS","asobo-flight-tutorials-firstsoloflightpattern"
29,2022/10/11 13:27:51,2018/9/7 23:55:00,KSEZ,"Sedona Airport,  Sedona AZ",21,KSEZ,"Sedona Airport,  Sedona AZ",00:07:20,00:07:20,00:00:00,10.2812,1,1,0,0,0,0,Asobo Studio,"PLANETYPE_PROPELLER","asobo-aircraft-c152","Cessna 152 Asobo",Runway,Tutorial Mission,34.8496773064714,-111.787059037015,"TT:MENU.WEATHERTYPE_3FEW_CLOUDS","asobo-flight-tutorials-firstsoloflightpattern"
30,2022/10/12 10:31:56,2018/9/8 0:10:00,KSEZ,"Sedona Airport,  Sedona AZ",21,KSEZ,"Sedona Airport,  Sedona AZ",00:05:27,00:05:27,00:00:00,7.7393,1,1,0,0,0,0,Asobo Studio,"PLANETYPE_PROPELLER","asobo-aircraft-c152","Cessna 152 Asobo",Runway,Tutorial Mission,34.860016497113,-111.781284660101,"TT:MENU.WEATHERTYPE_3FEW_CLOUDS","asobo-flight-tutorials-departure"
31,2022/10/12 10:39:41,2018/9/8 0:10:00,KSEZ,"Sedona Airport,  Sedona AZ",0,KSEZ,"Sedona Airport,  Sedona AZ",00:07:38,00:07:38,00:00:00,9.7215,0,0,0,0,0,0,Asobo Studio,"PLANETYPE_PROPELLER","asobo-aircraft-c152","Cessna 152 Asobo",Flying,Tutorial Mission,34.9353963056465,-111.653805132955,"TT:MENU.WEATHERTYPE_3FEW_CLOUDS","asobo-flight-tutorials-deadreckoning"
32,2022/10/12 10:47:54,2018/9/8 0:17:00,KSEZ,"Sedona Airport,  Sedona AZ",0,KFLG,"Flagstaff Pulliam International Airport,  Flagstaff AZ",00:02:21,00:02:21,00:00:00,3.6094,0,0,0,0,0,0,Asobo Studio,"PLANETYPE_PROPELLER","asobo-aircraft-c152","Cessna 152 Asobo",Flying,Tutorial Mission,34.9741795185843,-111.646401314065,"TT:MENU.WEATHERTYPE_3FEW_CLOUDS","asobo-flight-tutorials-landmarknavigation"
33,2022/10/12 10:50:24,2018/9/8 0:17:00,KSEZ,"Sedona Airport,  Sedona AZ",0,KFLG,"Flagstaff Pulliam International Airport,  Flagstaff AZ",00:07:14,00:07:14,00:00:00,11.0502,0,0,0,0,0,0,Asobo Studio,"PLANETYPE_PROPELLER","asobo-aircraft-c152","Cessna 152 Asobo",Flying,Tutorial Mission,35.0906191416502,-111.68227233924,"TT:MENU.WEATHERTYPE_3FEW_CLOUDS","asobo-flight-tutorials-landmarknavigation"
34,2022/10/12 10:58:42,2018/9/7 23:20:00,KSEZ,"Sedona Airport,  Sedona AZ",21,KSEZ,"Sedona Airport,  Sedona AZ",00:01:33,00:01:33,00:00:00,3.0152,1,1,0,0,0,0,Asobo Studio,"PLANETYPE_PROPELLER","asobo-aircraft-c152","Cessna 152 Asobo",Runway,Tutorial Mission,34.8238518259305,-111.815221225843,"TT:MENU.WEATHERTYPE_3FEW_CLOUDS","asobo-flight-tutorials-newtakeoff"
35,2022/10/12 13:07:21,2021/7/20 0:24:00,KFLG,"Flagstaff Pulliam International Airport,  Flagstaff AZ",0,KFLG,"Flagstaff Pulliam International Airport,  Flagstaff AZ",00:04:10,00:04:10,00:00:00,5.7593,0,0,0,0,0,0,Asobo Studio,"PLANETYPE_PROPELLER","asobo-aircraft-c152","Cessna 152 Asobo",Flying,Tutorial Mission,35.1252270852601,-111.656216019765,"TT:MENU.WEATHERTYPE_3FEW_CLOUDS","asobo-flight-tutorials-arrival"
36,2022/10/12 13:11:43,2021/7/20 0:24:00,KFLG,"Flagstaff Pulliam International Airport,  Flagstaff AZ",0,KFLG,"Flagstaff Pulliam International Airport,  Flagstaff AZ",00:06:54,00:06:54,00:00:00,9.3051,0,0,0,0,0,0,Asobo Studio,"PLANETYPE_PROPELLER","asobo-aircraft-c152","Cessna 152 Asobo",Flying,Tutorial Mission,35.1461484240258,-111.663033775985,"TT:MENU.WEATHERTYPE_3FEW_CLOUDS","asobo-flight-tutorials-arrival"
37,2022/10/12 13:19:40,2018/9/8 0:35:00,KFLG,"Flagstaff Pulliam International Airport,  Flagstaff AZ",3,KFLG,"Flagstaff Pulliam International Airport,  Flagstaff AZ",00:14:24,00:14:24,00:00:00,15.3882,0,0,0,0,0,0,Asobo Studio,"PLANETYPE_PROPELLER","asobo-aircraft-c152","Cessna 152 Asobo",Runway,Tutorial Mission,34.9852565800985,-111.643813988194,"TT:MENU.WEATHERTYPE_3FEW_CLOUDS","asobo-flight-tutorials-firstnavigationsolonew"
38,2022/10/12 13:35:42,2018/9/8 0:35:00,KFLG,"Flagstaff Pulliam International Airport,  Flagstaff AZ",3,KSEZ,"Sedona Airport,  Sedona AZ",00:27:35,00:27:35,00:00:00,29.1162,0,0,0,0,0,0,Asobo Studio,"PLANETYPE_PROPELLER","asobo-aircraft-c152","Cessna 152 Asobo",Runway,Tutorial Mission,34.849731297023,-111.78699105978,"TT:MENU.WEATHERTYPE_3FEW_CLOUDS","asobo-flight-tutorials-firstnavigationsolonew"
39,2022/10/12 14:08:40,2018/9/8 0:35:00,KFLG,"Flagstaff Pulliam International Airport,  Flagstaff AZ",3,KFLG,"Flagstaff Pulliam International Airport,  Flagstaff AZ",00:09:56,00:09:56,00:00:00,6.9939,0,0,0,0,0,0,Asobo Studio,"PLANETYPE_PROPELLER","asobo-aircraft-c152","Cessna 152 Asobo",Runway,Tutorial Mission,35.0751508486015,-111.672660056502,"TT:MENU.WEATHERTYPE_3FEW_CLOUDS","asobo-flight-tutorials-firstnavigationsolonew"
40,2022/10/12 14:23:30,2018/9/8 0:35:00,KFLG,"Flagstaff Pulliam International Airport,  Flagstaff AZ",3,KSEZ,"Sedona Airport,  Sedona AZ",00:26:46,00:26:46,00:00:00,27.2519,0,0,0,0,0,0,Asobo Studio,"PLANETYPE_PROPELLER","asobo-aircraft-c152","Cessna 152 Asobo",Runway,Tutorial Mission,34.8488314544955,-111.78812596947,"TT:MENU.WEATHERTYPE_3FEW_CLOUDS","asobo-flight-tutorials-firstnavigationsolonew"
41,2022/10/13 14:04:25,2018/9/7 15:20:00,LFMN,"Nice-Côte d'Azur Airport,  Nice PAC",22,LFMN,"Nice-Côte d'Azur Airport,  Nice PAC",00:01:40,00:01:40,00:00:00,6.9890,1,1,0,0,0,0,Asobo Studio,"PLANETYPE_AIRLINER","asobo-aircraft-a320-neo","Airbus A320 Neo Asobo",Runway,Tutorial Mission,43.5837288474517,7.11033996194601,"TT:MENU.WEATHERTYPE_3FEW_CLOUDS","asobo-flight-tutorials-a320takeoff"
42,2022/10/13 14:10:29,2018/9/7 17:45:00,LFMD,"Cannes-Mandelieu Airport,  Cannes PAC",0,LFMN,"Nice-Côte d'Azur Airport,  Nice PAC",00:05:05,00:05:05,00:00:00,11.4709,0,0,0,1,1,0,Asobo Studio,"PLANETYPE_AIRLINER","asobo-aircraft-a320-neo","Airbus A320 Neo Asobo",Runway,Tutorial Mission,43.6646696828055,7.22721286118031,"TT:MENU.WEATHERTYPE_3FEW_CLOUDS","asobo-flight-tutorials-a320landing"
43,2022/10/13 14:17:10,2021/3/1 21:55:17,KEB,"Nanwalek Airport,  Nanwalek AK",0,KEB,"Nanwalek Airport,  Nanwalek AK",00:00:59,00:00:59,00:00:00,1.1152,0,0,0,0,0,0,Asobo Studio,"PLANETYPE_PROPELLER","asobo-aircraft-icon","Icon A5 Asobo",Flying,Tutorial Mission,59.3662109130902,-151.912758965045,"TT:MENU.WEATHERTYPE_4HIGH_LAYER","microsoft-flight-tutorials-bush-shortto"
44,2022/10/13 14:19:20,2021/3/1 21:55:17,KEB,"Nanwalek Airport,  Nanwalek AK",0,KEB,"Nanwalek Airport,  Nanwalek AK",00:00:56,00:00:56,00:00:00,0.9991,0,0,0,0,0,0,Asobo Studio,"PLANETYPE_PROPELLER","asobo-aircraft-icon","Icon A5 Asobo",Flying,Tutorial Mission,59.3608568500512,-151.907083494589,"TT:MENU.WEATHERTYPE_4HIGH_LAYER","microsoft-flight-tutorials-bush-shortto"
45,2022/10/13 14:23:32,2021/3/1 21:55:17,KEB,"Nanwalek Airport,  Nanwalek AK",0,KEB,"Nanwalek Airport,  Nanwalek AK",00:00:55,00:00:55,00:00:00,0.8899,0,0,0,0,0,0,Asobo Studio,"PLANETYPE_PROPELLER","asobo-aircraft-icon","Icon A5 Asobo",Flying,Tutorial Mission,59.3630164721174,-151.917699007317,"TT:MENU.WEATHERTYPE_4HIGH_LAYER","microsoft-flight-tutorials-bush-shortto"
46,2022/10/13 14:30:04,2021/3/1 21:55:17,KEB,"Nanwalek Airport,  Nanwalek AK",0,KEB,"Nanwalek Airport,  Nanwalek AK",00:01:37,00:01:37,00:00:00,1.4587,0,0,0,0,0,0,Asobo Studio,"PLANETYPE_PROPELLER","asobo-aircraft-icon","Icon A5 Asobo",Flying,Tutorial Mission,59.3533251680956,-151.923754094169,"TT:MENU.WEATHERTYPE_4HIGH_LAYER","microsoft-flight-tutorials-bush-shortldg"
47,2022/10/13 14:32:38,2021/3/1 21:55:17,KEB,"Nanwalek Airport,  Nanwalek AK",0,KEB,"Nanwalek Airport,  Nanwalek AK",00:01:34,00:01:34,00:00:00,1.5280,0,0,0,0,0,0,Asobo Studio,"PLANETYPE_PROPELLER","asobo-aircraft-icon","Icon A5 Asobo",Flying,Tutorial Mission,59.351903416902,-151.92535629496,"TT:MENU.WEATHERTYPE_4HIGH_LAYER","microsoft-flight-tutorials-bush-shortldg"
48,2022/10/13 14:35:02,2021/3/6 23:54:43,KEB,"Nanwalek Airport,  Nanwalek AK",0,AK07,"Dog Fish Bay Airport,  Nanwalek AK",00:03:24,00:03:24,00:00:00,5.4474,0,0,0,0,0,0,Asobo Studio,"PLANETYPE_PROPELLER","asobo-aircraft-icon","Icon A5 Asobo",Flying,Tutorial Mission,59.2886894793411,-151.832831148058,"TT:MENU.WEATHERTYPE_4HIGH_LAYER","microsoft-flight-tutorials-bush-updraft"
49,2022/10/13 14:38:44,2021/3/6 23:54:43,KEB,"Nanwalek Airport,  Nanwalek AK",0,AK07,"Dog Fish Bay Airport,  Nanwalek AK",00:03:32,00:03:32,00:00:00,5.4361,0,0,0,0,0,0,Asobo Studio,"PLANETYPE_PROPELLER","asobo-aircraft-icon","Icon A5 Asobo",Flying,Tutorial Mission,59.287933611618,-151.83379355818,"TT:MENU.WEATHERTYPE_4HIGH_LAYER","microsoft-flight-tutorials-bush-updraft"
50,2022/10/13 14:42:46,2021/3/6 23:55:04,KEB,"Nanwalek Airport,  Nanwalek AK",0,PGM,"Port Graham Airport,  Port Graham AK",00:02:17,00:02:17,00:00:00,3.5038,0,0,0,0,0,0,Asobo Studio,"PLANETYPE_PROPELLER","asobo-aircraft-icon","Icon A5 Asobo",Flying,Tutorial Mission,59.3100877346464,-151.844948614016,"TT:MENU.WEATHERTYPE_4HIGH_LAYER","microsoft-flight-tutorials-bush-downdraft"
51,2022/10/13 14:45:38,2021/3/1 21:55:17,KEB,"Nanwalek Airport,  Nanwalek AK",0,KEB,"Nanwalek Airport,  Nanwalek AK",00:01:01,00:01:01,00:00:00,1.2277,0,0,0,0,0,0,Asobo Studio,"PLANETYPE_PROPELLER","asobo-aircraft-icon","Icon A5 Asobo",Flying,Tutorial Mission,59.3488169570325,-151.961168730631,"TT:MENU.WEATHERTYPE_4HIGH_LAYER","microsoft-flight-tutorials-bush-waterto"
52,2022/10/13 14:50:58,2021/3/1 21:55:17,KEB,"Nanwalek Airport,  Nanwalek AK",0,KEB,"Nanwalek Airport,  Nanwalek AK",00:01:13,00:01:13,00:00:00,1.3334,0,0,0,0,0,0,Asobo Studio,"PLANETYPE_PROPELLER","asobo-aircraft-icon","Icon A5 Asobo",Flying,Tutorial Mission,59.3485919964006,-151.965771401301,"TT:MENU.WEATHERTYPE_4HIGH_LAYER","microsoft-flight-tutorials-bush-waterto"
53,2022/10/13 14:53:36,2021/3/1 21:55:17,AK07,"Dog Fish Bay Airport,  Nanwalek AK",0,PGM,"Port Graham Airport,  Port Graham AK",00:02:01,00:02:01,00:00:00,2.0317,0,0,0,0,0,0,Asobo Studio,"PLANETYPE_PROPELLER","asobo-aircraft-icon","Icon A5 Asobo",Flying,Tutorial Mission,59.309061914165,-151.859174966812,"TT:MENU.WEATHERTYPE_4HIGH_LAYER","microsoft-flight-tutorials-bush-waterldg"
54,2022/10/13 14:56:36,2021/3/1 21:55:17,AK07,"Dog Fish Bay Airport,  Nanwalek AK",0,PGM,"Port Graham Airport,  Port Graham AK",00:02:06,00:02:06,00:00:00,2.6039,0,0,0,0,0,0,Asobo Studio,"PLANETYPE_PROPELLER","asobo-aircraft-icon","Icon A5 Asobo",Flying,Tutorial Mission,59.3156037693404,-151.872823387384,"TT:MENU.WEATHERTYPE_4HIGH_LAYER","microsoft-flight-tutorials-bush-waterldg"
55,2022/10/15 4:23:52,2021/3/1 21:55:17,AK07,"Dog Fish Bay Airport,  Nanwalek AK",0,AK07,"Dog Fish Bay Airport,  Nanwalek AK",00:00:25,00:00:25,00:00:00,0.6053,0,0,0,0,0,0,Asobo Studio,"PLANETYPE_PROPELLER","asobo-aircraft-icon","Icon A5 Asobo",Flying,Tutorial Mission,59.2936746069438,-151.822946118191,"TT:MENU.WEATHERTYPE_4HIGH_LAYER","microsoft-flight-tutorials-bush-waterldg"
56,2022/10/15 4:27:16,2021/3/1 21:55:17,AK07,"Dog Fish Bay Airport,  Nanwalek AK",0,PGM,"Port Graham Airport,  Port Graham AK",00:02:22,00:02:22,00:00:00,2.7764,0,0,0,0,0,0,Asobo Studio,"PLANETYPE_PROPELLER","asobo-aircraft-icon","Icon A5 Asobo",Flying,Tutorial Mission,59.3171425000625,-151.877717664465,"TT:MENU.WEATHERTYPE_4HIGH_LAYER","microsoft-flight-tutorials-bush-waterldg"
